x,y,theta
0.680825,0.611063,0.0390695
0.680973,0.611565,0.0390695
0.682711,0.612353,0.0390695
0.682969,0.612015,0.0390695
0.680803,0.612161,0.0390695
0.681199,0.612181,0.0390695
0.680145,0.611416,0.0390695
0.679381,0.612577,0.0390695
0.67886,0.611766,0.0390695
0.678591,0.611109,0.0390695
0.679256,0.612097,0.0390695
0.67829,0.613809,0.0390695
0.678852,0.611714,0.0390695
0.676568,0.611722,0.0390695
0.677017,0.611765,0.0390695
0.676249,0.61081,0.0390695
0.676824,0.609686,0.0390695
0.677867,0.609127,0.0390695
0.677357,0.607668,0.0390695
0.676371,0.606322,0.0390695
0.674972,0.605485,0.0390695
0.675638,0.605312,0.0390695
0.675123,0.604451,0.0390695
0.675431,0.60397,0.0390695
0.673824,0.604742,0.0390695
0.674703,0.604047,0.0390695
0.674007,0.605248,0.0390695
0.674824,0.604241,0.0390695
0.675992,0.603386,0.0390695
0.676401,0.602988,0.0390695
0.677086,0.601665,0.0390695
0.678391,0.60035,0.0390695
0.67557,0.599519,0.0390695
0.674557,0.597347,0.0390695
0.674808,0.596135,0.0390695
0.673921,0.596199,0.0390695
0.67436,0.596986,0.0390695
0.674167,0.596699,0.0390695
0.675543,0.596816,0.0390695
0.675082,0.597188,0.0390695
0.675695,0.597079,0.0390695
0.675728,0.596859,0.0390695
0.675356,0.595853,0.0390695
0.674874,0.59542,0.0390695
0.672801,0.596259,0.0390695
0.673034,0.596611,0.0390695
0.672162,0.596179,0.0390695
0.672112,0.595737,0.0390695
0.672552,0.595634,0.0390695
0.671556,0.595335,0.0390695
0.672729,0.594271,0.0390695
0.672624,0.593541,0.0390695
0.672845,0.592461,0.0390695
0.67105,0.592695,0.0390695
0.671761,0.593412,0.0390695
0.672511,0.592849,0.0390695
0.671764,0.592987,0.0390695
0.672691,0.593356,0.0390695
0.671912,0.594285,0.0390695
0.673876,0.595162,0.0390695
0.674303,0.597217,0.0390695
0.67424,0.595295,0.0390695
0.676241,0.595547,0.0390695
0.676386,0.596215,0.0390695
0.677426,0.596307,0.0390695
0.677222,0.59761,0.0390695
0.677633,0.597301,0.0390695
0.676419,0.597798,0.0390695
0.674755,0.596495,0.0390695
0.673394,0.598238,0.0390695
0.673326,0.597177,0.0390695
0.67311,0.596525,0.0390695
0.674753,0.595026,0.0390695
0.675693,0.593976,0.0390695
0.67538,0.594914,0.0390695
