x,y,theta
0.521758,0.601182,0.0390695
0.522715,0.594901,0.0390695
0.521008,0.596972,0.0390695
0.515263,0.602064,0.0390695
0.531491,0.604959,0.0390695
0.523133,0.608077,0.0390695
0.517123,0.616725,0.0390695
0.5196,0.620533,0.0390695
0.519095,0.626018,0.0390695
0.521686,0.628516,0.0390695
0.525024,0.626799,0.0390695
0.546167,0.636635,0.0390695
0.55506,0.625603,0.0390695
0.5439,0.624222,0.0390695
0.540865,0.626776,0.0390695
0.556066,0.630505,0.0390695
0.542417,0.627038,0.0390695
0.527922,0.623983,0.0390695
0.531052,0.639796,0.0390695
0.52888,0.642148,0.0390695
0.529281,0.648581,0.0390695
0.522079,0.640865,0.0390695
0.522592,0.65708,0.0390695
0.527797,0.663629,0.0390695
0.512738,0.675371,0.0390695
0.518353,0.654984,0.0390695
0.515436,0.672969,0.0390695
0.50762,0.66857,0.0390695
0.501977,0.670951,0.0390695
0.49617,0.684614,0.0390695
0.503548,0.667124,0.0390695
0.506496,0.663175,0.0390695
0.507001,0.668882,0.0390695
0.515845,0.667562,0.0390695
0.533759,0.678379,0.0390695
0.534482,0.660593,0.0390695
0.520402,0.638413,0.0390695
0.518429,0.633331,0.0390695
0.538091,0.656987,0.0390695
0.527952,0.678397,0.0390695
0.532992,0.678878,0.0390695
0.544007,0.668303,0.0390695
0.533251,0.667166,0.0390695
0.529422,0.664649,0.0390695
0.535589,0.647418,0.0390695
0.517328,0.668161,0.0390695
0.505012,0.677348,0.0390695
0.516341,0.67053,0.0390695
0.509662,0.666472,0.0390695
0.526582,0.671009,0.0390695
0.522179,0.671312,0.0390695
0.511265,0.674721,0.0390695
0.51475,0.669146,0.0390695
0.509912,0.674715,0.0390695
0.512239,0.665193,0.0390695
0.507872,0.649883,0.0390695
0.509226,0.66106,0.0390695
0.508997,0.664665,0.0390695
0.502645,0.655124,0.0390695
0.492777,0.648112,0.0390695
0.498256,0.65054,0.0390695
0.486667,0.651509,0.0390695
0.490181,0.6459,0.0390695
0.487941,0.633951,0.0390695
0.499462,0.644478,0.0390695
0.510334,0.647192,0.0390695
0.499614,0.634809,0.0390695
0.496029,0.63585,0.0390695
0.498933,0.635497,0.0390695
0.500641,0.626287,0.0390695
0.498643,0.622517,0.0390695
0.498103,0.612335,0.0390695
0.501389,0.617559,0.0390695
0.518664,0.626032,0.0390695
0.530061,0.641985,0.0390695
0.538425,0.648295,0.0390695
0.536016,0.65837,0.0390695
0.536278,0.640576,0.0390695
0.520143,0.653802,0.0390695
0.515698,0.67872,0.0390695
0.531529,0.694342,0.0390695
0.518582,0.695516,0.0390695
0.513879,0.695318,0.0390695
0.513541,0.704697,0.0390695
0.496626,0.714704,0.0390695
0.503265,0.715337,0.0390695
0.505795,0.720615,0.0390695
0.532082,0.730752,0.0390695
0.54629,0.730955,0.0390695
0.533811,0.714412,0.0390695
0.545074,0.716998,0.0390695
0.544681,0.706883,0.0390695
0.5352,0.704005,0.0390695
0.533693,0.685641,0.0390695
0.560771,0.690566,0.0390695
0.557571,0.709124,0.0390695
0.541426,0.718178,0.0390695
0.518903,0.707802,0.0390695
0.529196,0.726737,0.0390695
0.52182,0.734859,0.0390695
0.533776,0.735507,0.0390695
0.527502,0.741568,0.0390695
0.537349,0.746469,0.0390695
0.528717,0.751834,0.0390695
0.534525,0.761977,0.0390695
0.523179,0.758081,0.0390695
0.51289,0.750492,0.0390695
0.503344,0.754354,0.0390695
0.521613,0.771646,0.0390695
0.516356,0.752251,0.0390695
0.53114,0.747507,0.0390695
0.538061,0.749205,0.0390695
0.540589,0.748037,0.0390695
0.527523,0.742373,0.0390695
0.517804,0.743208,0.0390695
0.526325,0.728971,0.0390695
0.51918,0.720109,0.0390695
0.528379,0.71822,0.0390695
0.55029,0.723035,0.0390695
0.561773,0.72884,0.0390695
0.544437,0.73408,0.0390695
0.545719,0.750767,0.0390695
0.545547,0.747589,0.0390695
0.562611,0.760127,0.0390695
0.576661,0.755945,0.0390695
0.569149,0.756026,0.0390695
0.567171,0.769347,0.0390695
0.562791,0.771644,0.0390695
0.563537,0.779364,0.0390695
0.572438,0.778786,0.0390695
0.568652,0.787239,0.0390695
0.567888,0.798288,0.0390695
0.582555,0.79282,0.0390695
0.600667,0.799936,0.0390695
0.603738,0.799105,0.0390695
0.600062,0.799735,0.0390695
